IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,82,0.00
167.114.67.25,443,443,true,YYZ,North America,Toronto,223,0.00
20.204.147.101,443,443,true,BOM,Asia Pacific,Mumbai,151,0.00
24.96.156.183,443,443,true,ATL,North America,Atlanta,235,0.00
31.210.173.73,443,443,true,AMS,Europe,Amsterdam,270,0.00
3.143.106.216,443,443,true,ORD,North America,Chicago,198,0.00
77.92.85.76,443,443,true,KIV,Europe,Chișinău,239,0.00
35.176.229.223,443,443,true,LHR,Europe,London,201,0.00
20.246.127.166,443,443,true,IAD,North America,Ashburn,203,0.00
51.20.189.111,443,443,true,AMS,Europe,Amsterdam,203,0.00
185.82.98.154,443,443,true,MRS,Europe,Marseille,318,0.00
3.109.185.221,443,443,true,DEL,Asia Pacific,New Delhi,307,0.00
172.212.108.47,443,443,true,IAD,North America,Ashburn,255,0.00
20.52.22.151,443,443,true,FRA,Europe,Frankfurt,234,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,215,0.00
193.109.84.39,443,443,true,HEL,Europe,Helsinki,206,0.00
195.141.59.27,443,443,true,FRA,Europe,Frankfurt,196,0.00
67.226.220.10,443,443,true,IAD,North America,Ashburn,216,0.00
5.29.194.1,443,443,true,HFA,Middle East,Haifa,321,0.00
34.147.231.33,443,443,true,LHR,Europe,London,281,0.00
3.120.212.75,443,443,true,FRA,Europe,Frankfurt,190,0.00
34.142.31.109,443,443,true,LHR,Europe,London,257,0.00
44.226.147.29,443,443,true,SEA,North America,Seattle,158,0.00
3.68.31.54,443,443,true,FRA,Europe,Frankfurt,208,0.00
34.105.189.25,443,443,true,LHR,Europe,London,282,0.00
185.241.192.93,443,443,true,AMS,Europe,Amsterdam,209,0.00
140.238.15.251,443,443,true,ICN,Asia Pacific,Seoul,73,0.00
34.105.233.161,443,443,true,LHR,Europe,London,273,0.00
13.54.198.183,443,443,true,SYD,Oceania,Sydney,239,0.00
18.193.131.26,443,443,true,FRA,Europe,Frankfurt,224,0.00
140.238.29.117,443,80,false,NRT,Asia Pacific,Tokyo,63,0.00
94.78.67.171,443,443,true,LCA,Europe,Nicosia,221,0.00
54.247.36.82,443,443,true,DUB,Europe,Dublin,202,0.00
176.57.212.3,443,443,true,AMS,Europe,Amsterdam,255,0.00
38.180.92.156,443,443,true,LHR,Europe,London,199,0.00
172.174.249.255,443,443,true,IAD,North America,Ashburn,250,0.00
49.51.197.141,443,443,true,SJC,North America,San Jose,152,0.00
18.188.79.30,443,443,true,ORD,North America,Chicago,215,0.00
185.215.246.56,443,443,true,MEL,Oceania,Melbourne,163,0.00
37.1.207.228,443,443,true,AMS,Europe,Amsterdam,256,0.00
20.109.23.42,443,443,true,IAD,North America,Ashburn,247,0.00
